provincia,distrito
CABO DELGADO,ANCUABE
CABO DELGADO,BALAMA
CABO DELGADO,CHIURE
CABO DELGADO,IBO
CABO DELGADO,MACOMIA
CABO DELGADO,MECUFI
CABO DELGADO,MELUCO
CABO DELGADO,METUGE
CABO DELGADO,MOCIMBOA DA PRAIA
CABO DELGADO,MONTEPUEZ
CABO DELGADO,MUEDA
CABO DELGADO,MUIDUMBE
CABO DELGADO,NAMUMO
CABO DELGADO,NANGADE
CABO DELGADO,PALMA
CABO DELGADO,PEMBA
CABO DELGADO,QUISSANGA
GAZA,BILENE
GAZA,CHIBUTO
GAZA,CHIGUBO
GAZA,CHOKWE
GAZA,CHONGOENE
GAZA,CHUCUACUALA
GAZA,GUIJA
GAZA,LIMPOPO
GAZA,MABALANE
GAZA,MANDLAKAZI
GAZA,MAPAI
GAZA,MASSANGENA
GAZA,MASSINGIR
GAZA,XAI-XAI
INHAMBANE,FUNHALOURO
INHAMBANE,GOVURO
INHAMBANE,HOMOINE
INHAMBANE,INHAMBANE
INHAMBANE,INHARRIME
INHAMBANE,INHASSORO
INHAMBANE,JANGAMO
INHAMBANE,MABOTE
INHAMBANE,MASSINGA
INHAMBANE,MAXIXE
INHAMBANE,MORRUMBENE
INHAMBANE,PANDA
INHAMBANE,VILANCULOS
INHAMBANE,ZAVALA
MANICA,BÁRUE
MANICA,CIDADE DE CHIMOIO
MANICA,GONDOLA
MANICA,GURO
MANICA,MACATE
MANICA,MACHAZE
MANICA,MACOSSA
MANICA,MANICA
MANICA,MOSSURIZE
MANICA,SUSSUNDENGA
MANICA,TAMBARA
MANICA,VANDUZI
MAPUTO CIDADE,KAMABUKWANE
MAPUTO CIDADE,KAMAVOTA
MAPUTO CIDADE,KAMAXAQUENE
MAPUTO CIDADE,KANYAKA
MAPUTO CIDADE,KHAMPFUMO
MAPUTO CIDADE,KHATEMBE
MAPUTO CIDADE,NLHAMANKULU
MAPUTO PROVÍNCIA,BOANE
MAPUTO PROVÍNCIA,MAGUDE
MAPUTO PROVÍNCIA,MANHIÇA
MAPUTO PROVÍNCIA,MARRACUENE
MAPUTO PROVÍNCIA,MATOLA
MAPUTO PROVÍNCIA,MATUTUINE
MAPUTO PROVÍNCIA,MOAMBA
MAPUTO PROVÍNCIA,NAMAACHA
NAMPULA,ANGOCHE
NAMPULA,DISTRITO DE NAMPULA
NAMPULA,ERATI
NAMPULA,ILHA DE MOÇAMBIQUE
NAMPULA,LALAUA
NAMPULA,LARDE
NAMPULA,LIUPO
NAMPULA,MALEMA
NAMPULA,MECONTA
NAMPULA,MECUBURI
NAMPULA,MEMBA
NAMPULA,MOGINCUAL
NAMPULA,MOGOVOLAS
NAMPULA,MOMA
NAMPULA,MONAPO
NAMPULA,MOSSURIL
NAMPULA,MUECATE
NAMPULA,MURRUPULA
NAMPULA,NACALA A VELHA
NAMPULA,NACALA PORTO
NAMPULA,NACAROA
NAMPULA,RAPALE
NAMPULA,RIBAUE
NIASSA,CHIMBUNILA
NIASSA,CUAMBA
NIASSA,DISTRITO DE LICHINGA
NIASSA,LAGO
NIASSA,MAJUNE
NIASSA,MANDIMBA
NIASSA,MARRUPA
NIASSA,MAVAGO
NIASSA,MAÚA
NIASSA,MECANHELAS
NIASSA,MECULA
NIASSA,METARICA
NIASSA,MUEMBE
NIASSA,NGAÚMA
NIASSA,NIPEPE
NIASSA,SANGA
SOFALA,BEIRA
SOFALA,BUZI
SOFALA,CAIA
SOFALA,CHEMBA
SOFALA,CHERINGOMA
SOFALA,CHIBABAVA
SOFALA,DONDO
SOFALA,GORONGOZA
SOFALA,MACHANGA
SOFALA,MARINGUE
SOFALA,MARROMEU
SOFALA,MUANZA
SOFALA,NHAMATANDA
TETE,ANGÓNIA
TETE,CAHORA BASSA
TETE,CHANGARA
TETE,CHIFUNDE
TETE,CHIUTA
TETE,DOA
TETE,MACANGA
TETE,MAGOE
TETE,MARARA
TETE,MARÁVIA
TETE,MOATIZE
TETE,MUTARARA
TETE,TETE
TETE,TSANGANO
TETE,ZUMBO
ZAMBÉZIA,ALTO MOLÓCUÈ
ZAMBÉZIA,CHINDE
ZAMBÉZIA,DERRE
ZAMBÉZIA,GILE
ZAMBÉZIA,GURUE
ZAMBÉZIA,ILE
ZAMBÉZIA,INHASSUNGE
ZAMBÉZIA,LUABO
ZAMBÉZIA,LUGELA
ZAMBÉZIA,MAGANJA DA COSTA
ZAMBÉZIA,MILANGE
ZAMBÉZIA,MOCUBA
ZAMBÉZIA,MOCUBELA
ZAMBÉZIA,MOLUMBO
ZAMBÉZIA,MOPEIA
ZAMBÉZIA,MORRUMBALA
ZAMBÉZIA,MULEVALA
ZAMBÉZIA,NAMACURRA
ZAMBÉZIA,NAMARROI
ZAMBÉZIA,NICOADALA
ZAMBÉZIA,PEBANE
ZAMBÉZIA,QUELIMANE
